Date,Adj Close
1993-03-31,1.14
1993-04-01,1.16
1993-05-03,1.44
1993-06-01,1.47
1993-07-01,1.42
1993-08-02,1.45
1993-09-01,1.64
1993-10-01,1.6
1993-11-01,1.33
1993-12-01,1.33
1994-01-03,1.44
1994-02-01,1.39
1994-03-01,1.46
1994-04-04,1.78
1994-05-02,1.71
1994-06-01,1.51
1994-07-01,1.74
1994-08-01,1.69
1994-09-01,1.38
1994-10-03,1.62
1994-11-01,1.6
1994-12-01,1.65
1995-01-03,1.44
1995-02-01,1.43
1995-03-01,1.44
1995-04-03,1.41
1995-05-01,1.74
1995-06-01,2.13
1995-07-03,2.24
1995-08-01,2.39
1995-09-01,2.27
1995-10-02,2.35
1995-11-01,2.53
1995-12-01,2.51
1996-01-02,2.01
1996-02-01,2.11
1996-03-01,2.79
1996-04-01,3.25
1996-05-01,3.25
1996-06-03,3.38
1996-07-01,3.11
1996-08-01,3.92
1996-09-03,3.95
1996-10-01,3.89
1996-11-01,4.15
1996-12-02,3.43
1997-01-02,4.1
1997-02-03,4.03
1997-03-03,3.55
1997-04-01,3.58
1997-05-01,3.77
1997-06-02,4.66
1997-07-01,4.9
1997-08-01,4.91
1997-09-02,5.01
1997-10-01,3.95
1997-11-03,4.18
1997-12-01,4.59
1998-01-02,4.38
1998-02-02,4.74
1998-03-02,5.42
1998-04-01,5.76
1998-05-01,5.75
1998-06-01,6.4
1998-07-01,5.01
1998-08-03,3.78
1998-09-01,4.33
1998-10-01,5.19
1998-11-02,5.52
1998-12-01,6.72
1999-01-04,6.23
1999-02-01,6.33
1999-03-01,6.72
1999-04-01,8.84
1999-05-03,8.83
1999-06-01,8.99
1999-07-01,5.57
1999-08-02,5.48
1999-09-01,5.93
1999-10-01,6.51
1999-11-01,6.36
1999-12-01,5.81
2000-01-03,7.66
2000-02-01,8.41
2000-03-01,10.73
2000-04-03,7.24
2000-05-01,8.14
2000-06-01,9.14
2000-07-03,8.98
2000-08-01,8.77
2000-09-01,9.59
2000-10-02,10.7
2000-11-01,10.91
2000-12-01,10.59
2001-01-02,11.96
2001-02-01,11.4
2001-03-01,10.16
2001-04-02,9.27
2001-05-01,9.35
2001-06-01,11.01
2001-07-02,8.64
2001-08-01,8.08
2001-09-04,7.15
2001-10-01,8.2
2001-11-01,8.49
2001-12-03,9.12
2002-01-02,11.38
2002-02-04,11.02
2002-03-01,11.08
2002-04-01,10.93
2002-05-01,11.63
2002-06-03,11.9
2002-07-01,9.4
2002-08-01,9.62
2002-09-03,9.89
2002-10-01,11.42
2002-11-01,10.41
2002-12-02,9.76
2003-01-02,10.88
2003-02-03,11.23
2003-03-03,12.33
2003-04-01,11.26
2003-05-01,11.81
2003-06-02,11.76
2003-07-01,13.09
2003-08-01,13.59
2003-09-02,13.79
2003-10-01,15.13
2003-11-03,15.4
2003-12-01,15.88
2004-01-02,17.53
2004-02-02,17.91
2004-03-01,18.13
2004-04-01,18.64
2004-05-03,19.44
2004-06-01,20.82
2004-07-01,22.5
2004-08-02,20.71
2004-09-01,21.77
2004-10-01,25.32
2004-11-01,26.94
2004-12-01,29.86
2005-01-03,25.86
2005-02-01,24.81
2005-03-01,24.74
2005-04-01,23.71
2005-05-02,26.24
2005-06-01,24.74
2005-07-01,25.16
2005-08-01,23.48
2005-09-01,23.99
2005-10-03,27.08
2005-11-01,29.16
2005-12-01,28.74
2006-01-03,30.36
2006-02-01,34.78
2006-03-01,36.04
2006-04-03,35.69
2006-05-01,34.14
2006-06-01,36.16
2006-07-03,32.78
2006-08-01,29.7
2006-09-01,32.61
2006-10-02,36.15
2006-11-01,33.8
2006-12-01,33.92
2007-01-03,33.46
2007-02-01,29.59
2007-03-01,30.03
2007-04-02,29.71
2007-05-01,27.59
2007-06-01,25.13
2007-07-02,25.55
2007-08-01,26.38
2007-09-04,25.09
2007-10-01,25.55
2007-11-01,22.4
2007-12-03,19.6
2008-01-02,18.11
2008-02-01,17.22
2008-03-03,16.76
